Name;Sex;Age;Height;Weight;Team;Sport;Event;Medal
Lisa Carrington;F;23;168;138,8912251;New Zealand;Canoeing;Canoeing Women's Kayak Singles, 200 metres;Gold
Joel Carroll;M;25;184;196,2114132;Australia;Hockey;Hockey Men's Hockey;Bronze
Nesta Carter;M;26;178;154,3235834;Jamaica;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
"Swintayla Marie ""Swin"" Cash";F;32;185;163,1420739;United States;Basketball;Basketball Women's Basketball;Gold
Andrea Cassar;M;28;193;205,0299037;Italy;Fencing;Fencing Men's Foil, Team;Gold
Tamika Devonne Catchings;F;33;185;169,7559417;United States;Basketball;Basketball Women's Basketball;Gold
Martina Cavallero;F;22;163;127,868112;Argentina;Hockey;Hockey Women's Hockey;Silver
Giovanni Cernogoraz;M;29;186;198,4160358;Croatia;Shooting;Shooting Men's Trap;Gold
Peter Chambers;M;22;186;158,7328286;Great Britain;Rowing;Rowing Men's Lightweight Coxless Fours;Silver
Richard Scott Chambers;M;27;183;163,1420739;Great Britain;Rowing;Rowing Men's Lightweight Coxless Fours;Silver
Tyson Cleotis Chandler;M;29;216;235,8946203;United States;Basketball;Basketball Men's Basketball;Gold
Chang Si;F;25;170;123,4588667;China;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Candace Marie Margaret Chapman;F;29;169;130,0727346;Canada;Football;Football Women's Football;Bronze
James Jonathan Chapman;M;32;190;202,825281;Australia;Rowing;Rowing Men's Coxless Fours;Silver
Germain Louis Marcel Chardin;M;29;195;198,4160358;France;Rowing;Rowing Men's Coxless Pairs;Silver
Peter Charles;M;52;175;171,9605644;Great Britain;Equestrianism;Equestrianism Mixed Jumping, Team;Gold
Tina Alexandria Charles;F;23;193;194,0067906;United States;Basketball;Basketball Women's Basketball;Gold
Darvin Francisco Chvez Ramrez;M;22;;;Mexico;Football;Football Men's Football;Gold
Yuriy Volodymyrovych Cheban;M;26;185;205,0299037;Ukraine;Canoeing;Canoeing Men's Canadian Singles, 200 metres;Gold
Diana Maria Chelaru;F;18;150;;Romania;Gymnastics;Gymnastics Women's Team All-Around;Bronze
Chen Ding;M;19;175;136,6866024;China;Athletics;Athletics Men's 20 kilometres Walk;Gold
Chen Long;M;23;188;178,5744322;China;Badminton;Badminton Men's Singles;Bronze
Chen Ruolin;F;19;160;103,6172631;China;Diving;Diving Women's Platform;Gold
Chen Ruolin;F;19;160;103,6172631;China;Diving;Diving Women's Synchronized Platform;Gold
Chen Xiaojun;F;19;167;229,2807525;China;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Chen Yibing;M;27;160;127,868112;China;Gymnastics;Gymnastics Men's Team All-Around;Gold
Chen Yibing;M;27;160;127,868112;China;Gymnastics;Gymnastics Men's Rings;Silver
Chen Ying;F;34;164;147,7097155;China;Shooting;Shooting Women's Sporting Pistol, 25 metres;Silver
Lauren Nicole Cheney (-Holiday);F;24;173;154,3235834;United States;Football;Football Women's Football;Gold
Cheng Ming;F;26;165;143,3004703;China;Archery;Archery Women's Team;Silver
Lyubov Viktorovna Cherkashina;F;24;171;116,8449989;Belarus;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Individual;Bronze
Tatyana Sergeyevna Chernova;F;24;189;138,8912251;Russia;Athletics;Athletics Women's Heptathlon;Bronze
Vivian Jepkemoi Cheruiyot;F;28;153;88,1849048;Kenya;Athletics;Athletics Women's 5,000 metres;Silver
Vivian Jepkemoi Cheruiyot;F;28;153;88,1849048;Kenya;Athletics;Athletics Women's 10,000 metres;Bronze
Anna Vladimirovna Chicherova;F;30;180;125,6634893;Russia;Athletics;Athletics Women's High Jump;Gold
Kenta Chida;M;26;170;143,3004703;Japan;Fencing;Fencing Men's Foil, Team;Silver
Zulfiya Salakharovna Chinshanlo;F;19;155;116,8449989;Kazakhstan;Weightlifting;Weightlifting Women's Featherweight;Gold
Choi Byeong-Cheol;M;30;173;154,3235834;South Korea;Fencing;Fencing Men's Foil, Individual;Bronze
Choi Eun-Sook;F;26;169;130,0727346;South Korea;Fencing;Fencing Women's epee, Team;Silver
Choi Hyeon-Ju;F;27;172;143,3004703;South Korea;Archery;Archery Women's Team;Gold
Choi In-Jeong;F;22;174;130,0727346;South Korea;Fencing;Fencing Women's epee, Team;Silver
Choi Yeong-Rae;M;30;166;163,1420739;South Korea;Shooting;Shooting Men's Free Pistol, 50 metres;Silver
Mavzuna Chorieva;F;19;160;132,2773572;Tajikistan;Boxing;Boxing Women's Lightweight;Bronze
Maialen Chourraut Yurramendi;F;29;161;121,2542441;Spain;Canoeing;Canoeing Women's Kayak Singles, Slalom;Bronze
Clarissa Kyoko Mei Ling Chun;F;30;150;105,8218858;United States;Wrestling;Wrestling Women's Flyweight, Freestyle;Bronze
Csar Augusto Cielo Filho;M;25;195;176,3698096;Brazil;Swimming;Swimming Men's 50 metres Freestyle;Bronze
Mihaela Ciobanu Ciobanu;F;39;175;160,9374513;Spain;Handball;Handball Women's Handball;Bronze
Anatolii Crcu;M;23;178;207,2345263;Moldova;Weightlifting;Weightlifting Men's Middle-Heavyweight;Bronze
"Christopher ""Chris"" Ciriello";M;26;182;182,9836775;Australia;Hockey;Hockey Men's Hockey;Bronze
"Edward ""Ed"" Clancy";M;27;185;174,165187;Great Britain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Gold
"Edward ""Ed"" Clancy";M;27;185;174,165187;Great Britain;Cycling;Cycling Men's Omnium;Bronze
Saskia Clark;F;32;176;149,9143382;Great Britain;Sailing;Sailing Women's Two Person Dinghy;Silver
Scott Tyler Clary;M;23;185;185,1883001;United States;Swimming;Swimming Men's 200 metres Backstroke;Gold
Vctor Claver Arocas;M;23;206;235,8946203;Spain;Basketball;Basketball Men's Basketball;Silver
"William Bundu ""Will"" Claye";M;21;181;158,7328286;United States;Athletics;Athletics Men's Long Jump;Bronze
"William Bundu ""Will"" Claye";M;21;181;158,7328286;United States;Athletics;Athletics Men's Triple Jump;Silver
Jacob Clear;M;27;185;189,5975453;Australia;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Gold
Ryan Andrew Cochrane;M;23;192;176,3698096;Canada;Swimming;Swimming Men's 1,500 metres Freestyle;Silver
Roxana Daniela Coco;F;23;158;149,9143382;Romania;Weightlifting;Weightlifting Women's Light-Heavyweight;Silver
Nathan Cohen;M;26;184;191,8021679;New Zealand;Rowing;Rowing Men's Double Sculls;Gold
"Charles ""Charlie"" Cole";M;26;194;198,4160358;United States;Rowing;Rowing Men's Coxless Fours;Bronze
Michael John Conlan;M;20;170;123,4588667;Ireland;Boxing;Boxing Men's Flyweight;Bronze
"Althea Kristina ""Tina"" Cook (Gifford-)";F;41;175;156,528206;Great Britain;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Silver
Iztok op;M;40;190;196,2114132;Slovenia;Rowing;Rowing Men's Double Sculls;Bronze
"Katherine Sarah ""Kat"" Copeland";F;21;172;127,868112;Great Britain;Rowing;Rowing Women's Lightweight Double Sculls;Gold
Bryan Coquard;M;20;169;127,868112;France;Cycling;Cycling Men's Omnium;Silver
Monique Adelinde Cornelissen;F;33;168;121,2542441;Netherlands;Equestrianism;Equestrianism Mixed Dressage, Individual;Silver
Monique Adelinde Cornelissen;F;33;168;121,2542441;Netherlands;Equestrianism;Equestrianism Mixed Dressage, Team;Bronze
Jos de Jess Corona Rodrguez;M;30;188;182,9836775;Mexico;Football;Football Men's Football;Gold
Javier Corts Granados;M;23;171;154,3235834;Mexico;Football;Football Men's Football;Gold
Natalie Anne Coughlin (-Hall);F;29;173;138,8912251;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
Alicia Jayne Coutts;F;24;176;152,1189608;Australia;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
Alicia Jayne Coutts;F;24;176;152,1189608;Australia;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Silver
Alicia Jayne Coutts;F;24;176;152,1189608;Australia;Swimming;Swimming Women's 100 metres Butterfly;Bronze
Alicia Jayne Coutts;F;24;176;152,1189608;Australia;Swimming;Swimming Women's 200 metres Individual Medley;Silver
Alicia Jayne Coutts;F;24;176;152,1189608;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Lionel Cox;M;31;185;163,1420739;Belgium;Shooting;Shooting Men's Small-Bore Rifle, Prone, 50 metres;Silver
"Kameryn Louise ""Kami"" Craig";F;25;181;194,0067906;United States;Water Polo;Water Polo Women's Water Polo;Gold
Sal Craviotto Rivero;M;27;192;216,0530168;Spain;Canoeing;Canoeing Men's Kayak Singles, 200 metres;Silver
Margalida Cresp Jaume;F;21;170;121,2542441;Spain;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Sebastian Eduardo Crismanich;M;25;183;174,165187;Argentina;Taekwondo;Taekwondo Men's Welterweight;Gold
Will Crothers;M;25;195;209,4391489;Canada;Rowing;Rowing Men's Coxed Eights;Silver
"Kimberley ""Kim"" Crow-Brennan";F;26;188;163,1420739;Australia;Rowing;Rowing Women's Single Sculls;Bronze
"Kimberley ""Kim"" Crow-Brennan";F;26;188;163,1420739;Australia;Rowing;Rowing Women's Double Sculls;Silver
Lszl Cseh, Jr.;M;26;188;182,9836775;Hungary;Swimming;Swimming Men's 200 metres Individual Medley;Bronze
va Csernoviczki;F;25;160;112,4357536;Hungary;Judo;Judo Women's Extra-Lightweight;Bronze
Douglas Csima;M;26;191;220,462262;Canada;Rowing;Rowing Men's Coxed Eights;Silver
Vernica Mara Cuadrado Dehesa;F;33;184;160,9374513;Spain;Handball;Handball Women's Handball;Bronze
Chay Crista Kerio Cullen;F;26;182;163,1420739;Great Britain;Hockey;Hockey Women's Hockey;Bronze
Javier Culson Prez;M;28;200;180,7790548;Puerto Rico;Athletics;Athletics Men's 400 metres Hurdles;Bronze
Ivan upi;M;26;178;171,9605644;Croatia;Handball;Handball Men's Handball;Bronze
Nina Curtis;F;24;167;149,9143382;Australia;Sailing;Sailing Women's Three Person Keelboat;Silver
Michal D'Almeida;M;24;176;176,3698096;France;Cycling;Cycling Men's Team Sprint;Silver
Mayra Aguiar da Silva;F;20;177;171,9605644;Brazil;Judo;Judo Women's Half-Heavyweight;Bronze
Rafael Carlos da Silva;M;25;203;352,7396192;Brazil;Judo;Judo Men's Heavyweight;Bronze
Dan Anders Hkan Dahlby;M;46;185;209,4391489;Sweden;Shooting;Shooting Men's Double Trap;Silver
Dai Jun;M;20;181;165,3466965;China;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
Dai Xiaoxiang;M;21;178;154,3235834;China;Archery;Archery Men's Individual;Bronze
"Thomas Robert ""Tom"" Daley";M;18;177;163,1420739;Great Britain;Diving;Diving Men's Platform;Bronze
Leandro Damio da Silva dos Santos;M;23;187;185,1883001;Brazil;Football;Football Men's Football;Silver
Danilo Luiz da Silva;M;21;184;160,9374513;Brazil;Football;Football Men's Football;Silver
"Alexandra Mary L. ""Alex"" Danson";F;27;167;123,4588667;Great Britain;Hockey;Hockey Women's Hockey;Bronze
Dante Guimares Santos do Amaral;M;31;201;189,5975453;Brazil;Volleyball;Volleyball Men's Volleyball;Silver
Caryn Davies;F;30;193;180,7790548;United States;Rowing;Rowing Women's Coxed Eights;Gold
Anthony Marshon Davis, Jr.;M;19;208;220,462262;United States;Basketball;Basketball Men's Basketball;Gold
Nicole Marie Davis;F;30;167;145,5050929;United States;Volleyball;Volleyball Women's Volleyball;Silver
Anastasiya Semyonovna Davydova;F;29;170;119,0496215;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Christine Day;F;25;168;112,4357536;Jamaica;Athletics;Athletics Women's 4 x 400 metres Relay;Bronze
Mara Silvina D'Elia;F;26;173;152,1189608;Argentina;Hockey;Hockey Women's Hockey;Silver
Merel Manon de Blaey;F;25;172;143,3004703;Netherlands;Hockey;Hockey Women's Hockey;Gold
Eva Roma Maria de Goede;F;23;170;134,4819798;Netherlands;Hockey;Hockey Women's Hockey;Gold
Sytske Louise de Groot;F;26;180;158,7328286;Netherlands;Rowing;Rowing Women's Coxed Eights;Bronze
Annemiek Nicolien de Haan;F;31;187;154,3235834;Netherlands;Rowing;Rowing Women's Coxed Eights;Bronze
Rachelle De Jong-Viinberg;F;33;183;163,1420739;Canada;Rowing;Rowing Women's Coxed Eights;Silver
Mark de Jonge;M;28;180;200,6206584;Canada;Canoeing;Canoeing Men's Kayak Singles, 200 metres;Bronze
Juan Mara de la Fuente;M;35;181;163,1420739;Argentina;Sailing;Sailing Men's Two Person Dinghy;Bronze
Teun Floris de Nooijer;M;36;184;174,165187;Netherlands;Hockey;Hockey Men's Hockey;Silver
Bob de Voogd;M;23;183;176,3698096;Netherlands;Hockey;Hockey Men's Hockey;Silver
Sander Sebastiaan de Wijn;M;22;183;171,9605644;Netherlands;Hockey;Hockey Men's Hockey;Silver
Liam Andrew De Young;M;30;179;165,3466965;Australia;Hockey;Hockey Men's Hockey;Bronze
Timothy Deavin;M;27;185;169,7559417;Australia;Hockey;Hockey Men's Hockey;Bronze
Rajmond Debevec;M;49;182;158,7328286;Slovenia;Shooting;Shooting Men's Small-Bore Rifle, Prone, 50 metres;Bronze
Lucie Dcosse;F;30;168;154,3235834;France;Judo;Judo Women's Middleweight;Gold
Oskar Deecke;M;26;183;171,9605644;Germany;Hockey;Hockey Men's Hockey;Gold
Meseret Defar Tola;F;28;159;92,59415004;Ethiopia;Athletics;Athletics Women's 5,000 metres;Gold
Inge Dekker;F;26;183;147,7097155;Netherlands;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
Juan Martn del Potro;M;23;198;213,8483941;Argentina;Tennis;Tennis Men's Singles;Bronze
Natalie Dell;F;27;175;165,3466965;United States;Rowing;Rowing Women's Quadruple Sculls;Bronze
"Cynthia ""Janay"" DeLoach (-Soukup)";F;26;166;127,868112;United States;Athletics;Athletics Women's Long Jump;Bronze
Yana Mykhailivna Dementieva;F;33;182;165,3466965;Ukraine;Rowing;Rowing Women's Quadruple Sculls;Gold
"Nicholas Charles ""Nick"" Dempsey";M;31;180;156,528206;Great Britain;Sailing;Sailing Men's Windsurfer;Silver
Lashinda Monique Demus;F;29;170;132,2773572;United States;Athletics;Athletics Women's 400 metres Hurdles;Silver
Deng Linlin;F;20;144;74,95716908;China;Gymnastics;Gymnastics Women's Balance Beam;Gold
Aleksey Alekseyevich Denisenko;M;18;185;149,9143382;Russia;Taekwondo;Taekwondo Men's Flyweight;Bronze
Rohan Dennis;M;22;182;158,7328286;Australia;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
Erin Densham;F;27;165;114,6403762;Australia;Triathlon;Triathlon Women's Olympic Distance;Bronze
Inna Vasilyevna Deriglazova;F;22;173;134,4819798;Russia;Fencing;Fencing Women's Foil, Team;Silver
Robelis Despaigne Sanquet;M;23;200;218,2576394;Cuba;Taekwondo;Taekwondo Men's Heavyweight;Bronze
Elisa Di Francisca;F;29;177;143,3004703;Italy;Fencing;Fencing Women's Foil, Individual;Gold
Elisa Di Francisca;F;29;177;143,3004703;Italy;Fencing;Fencing Women's Foil, Team;Gold
Tirunesh Dibaba Keneni;F;27;166;110,231131;Ethiopia;Athletics;Athletics Women's 5,000 metres;Bronze
Tirunesh Dibaba Keneni;F;27;166;110,231131;Ethiopia;Athletics;Athletics Women's 10,000 metres;Gold
Tina Dietze;F;24;172;149,9143382;Germany;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Gold
Tina Dietze;F;24;172;149,9143382;Germany;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Silver
Jennifer Digbeu (-Gadiou);F;25;190;180,7790548;France;Basketball;Basketball Women's Basketball;Silver
Didier Dominique Dinart;M;35;197;229,2807525;France;Handball;Handball Men's Handball;Gold
Ding Feng;M;25;175;176,3698096;China;Shooting;Shooting Men's Rapid-Fire Pistol, 25 metres;Bronze
Ding Ning;F;22;171;138,8912251;China;Table Tennis;Table Tennis Women's Singles;Silver
Ding Ning;F;22;171;138,8912251;China;Table Tennis;Table Tennis Women's Team;Gold
Carlien Clemens Dirkse van den Heuvel;F;25;170;123,4588667;Netherlands;Hockey;Hockey Women's Hockey;Gold
Diamond Brittany Dixon;F;20;168;112,4357536;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Darya Andreyevna Dmitriyeva;F;19;174;;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Individual;Silver
Tommaso D'Orsogna;M;21;190;185,1883001;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Bronze
Nika Dobud;M;26;199;260,1454692;Croatia;Water Polo;Water Polo Men's Water Polo;Gold
Dalibor Doder;M;33;182;176,3698096;Sweden;Handball;Handball Men's Handball;Silver
Tiberiu Alexandru Dolniceanu;M;24;179;174,165187;Romania;Fencing;Fencing Men's Sabre, Team;Silver
Rudolf Dombi;M;25;180;174,165187;Hungary;Canoeing;Canoeing Men's Kayak Doubles, 1,000 metres;Gold
Claire Christine Donahue;F;23;170;138,8912251;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Fabrizio Donato;M;35;189;182,9836775;Italy;Athletics;Athletics Men's Triple Jump;Bronze
Dong Dong;M;23;168;125,6634893;China;Trampolining;Trampolining Men's Individual;Gold
Ulyana Vyacheslavovna Donskova;F;19;176;125,6634893;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Gold
Giovani dos Santos Ramrez;M;23;172;154,3235834;Mexico;Football;Football Men's Football;Gold
Josef Dostl;M;19;202;253,5316013;Czech Republic;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Bronze
Natasa Douchev-Janics;F;30;174;149,9143382;Hungary;Canoeing;Canoeing Women's Kayak Singles, 200 metres;Bronze
Natasa Douchev-Janics;F;30;174;149,9143382;Hungary;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Silver
"Gabrielle Christina Victoria ""Gabby"" Douglas";F;16;157;110,231131;United States;Gymnastics;Gymnastics Women's Individual All-Around;Gold
"Gabrielle Christina Victoria ""Gabby"" Douglas";F;16;157;110,231131;United States;Gymnastics;Gymnastics Women's Team All-Around;Gold
Nataliya Viktorivna Dovhodko;F;21;186;171,9605644;Ukraine;Rowing;Rowing Women's Quadruple Sculls;Gold
Ana oki;F;33;165;132,2773572;Montenegro;Handball;Handball Women's Handball;Silver
Annika Elise Madsen Dries;F;20;185;196,2114132;United States;Water Polo;Water Polo Women's Water Polo;Gold
Derek Drouin;M;22;196;182,9836775;Canada;Athletics;Athletics Men's High Jump;Bronze
Alexander Mah Owens Drysdale;M;33;200;224,8715072;New Zealand;Rowing;Rowing Men's Single Sculls;Gold
Kseniya Pavlovna Dudkina;F;17;173;108,0265084;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Gold
Charlotte Susan Jane Dujardin;F;27;170;125,6634893;Great Britain;Equestrianism;Equestrianism Mixed Dressage, Individual;Gold
Charlotte Susan Jane Dujardin;F;27;170;125,6634893;Great Britain;Equestrianism;Equestrianism Mixed Dressage, Team;Gold
Troy Matthew Bek Dumais;M;32;168;149,9143382;United States;Diving;Diving Men's Synchronized Springboard;Bronze
Cline Dumerc;F;30;169;132,2773572;France;Basketball;Basketball Women's Basketball;Silver
Rare Dumitrescu;M;28;192;185,1883001;Romania;Fencing;Fencing Men's Sabre, Team;Silver
Alina Alexandra Dumitru (-Croitoru);F;29;158;105,8218858;Romania;Judo;Judo Women's Extra-Lightweight;Silver
Joshua Dunkley-Smith;M;23;194;216,0530168;Australia;Rowing;Rowing Men's Coxless Fours;Silver
Kevin Wayne Durant;M;23;206;231,4853751;United States;Basketball;Basketball Men's Basketball;Gold
Yogeshwar Dutt;M;29;168;143,3004703;India;Wrestling;Wrestling Men's Lightweight, Freestyle;Bronze
Domagoj Duvnjak;M;24;198;220,462262;Croatia;Handball;Handball Men's Handball;Bronze
Conor James Dwyer;M;23;196;196,2114132;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Jamie Raymond Dwyer;M;33;172;149,9143382;Australia;Hockey;Hockey Men's Hockey;Bronze
Aleksandr Igorevich Dyachenko;M;22;180;187,3929227;Russia;Canoeing;Canoeing Men's Kayak Doubles, 200 metres;Gold
Ivan Fyodorovich Dychko;M;21;205;200,6206584;Kazakhstan;Boxing;Boxing Men's Super-Heavyweight;Bronze
Ashton James Eaton;M;24;186;178,5744322;United States;Athletics;Athletics Men's Decathlon;Gold
Yukiko Ebata;F;22;176;154,3235834;Japan;Volleyball;Volleyball Women's Volleyball;Bronze
Eskild Balschmidt Ebbesen;M;40;185;165,3466965;Denmark;Rowing;Rowing Men's Lightweight Coxless Fours;Bronze
Masashi Ebinuma;M;22;170;145,5050929;Japan;Judo;Judo Men's Half-Lightweight;Bronze
Tmara Echegoyen Domnguez;F;28;174;154,3235834;Spain;Sailing;Sailing Women's Three Person Keelboat;Gold
Annette Edmondson;F;20;171;143,3004703;Australia;Cycling;Cycling Women's Omnium;Bronze
"Richard Phillip ""Ric"" Egington";M;33;198;229,2807525;Great Britain;Rowing;Rowing Men's Coxed Eights;Bronze
Lars Niclas Ekberg;M;23;191;182,9836775;Sweden;Handball;Handball Men's Handball;Silver
Kim Andreas Ekdahl du Rietz;M;23;196;216,0530168;Sweden;Handball;Handball Men's Handball;Silver
Brady Lee Ellison;M;23;181;189,5975453;United States;Archery;Archery Men's Team;Silver
Brittany Joyce Elmslie;F;18;179;160,9374513;Australia;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
Brittany Joyce Elmslie;F;18;179;160,9374513;Australia;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Silver
Brittany Joyce Elmslie;F;18;179;160,9374513;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Patricia Elorza Eguiara;F;28;180;171,9605644;Spain;Handball;Handball Women's Handball;Bronze
Gvrise Emane;F;29;162;154,3235834;France;Judo;Judo Women's Half-Middleweight;Bronze
