N4m3;S3x;4g3;H31ght;W31ght;T34m;Sp0rt;3v3nt;M3d4l
Yevhen Leonidovych Buslovych;M;28;168;127,868112;Ukraine;Wrestling;Wrestling Men's Featherweight, Freestyle;Silver
Crystl Irene Bustos;F;23;173;224,8715072;United States;Softball;Softball Women's Softball;Gold
Cai Yalin;M;23;174;132,2773572;China;Shooting;Shooting Men's Air Rifle, 10 metres;Gold
Giovanni Calabrese;M;33;184;194,0067906;Italy;Rowing;Rowing Men's Double Sculls;Bronze
Miguel Calds Luis;M;29;185;187,3929227;Cuba;Baseball;Baseball Men's Baseball;Silver
Els Callens;F;30;177;127,868112;Belgium;Tennis;Tennis Women's Doubles;Bronze
Ashley John Callus;M;21;188;187,3929227;Australia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
Dyana Jane Calub;F;24;175;152,1189608;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Tiago Henrique de Oliveira Camilo;M;18;180;198,4160358;Brazil;Judo;Judo Men's Lightweight;Silver
Darren Andrew Campbell;M;27;183;182,9836775;Great Britain;Athletics;Athletics Men's 200 metres;Silver
Veronica Angella Campbell-Brown;F;18;168;127,868112;Jamaica;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
Joan Capdevila Mndez;M;22;182;171,9605644;Spain;Football;Football Men's Football;Silver
Nadine Capellmann (-Biffar-);F;35;166;112,4357536;Germany;Equestrianism;Equestrianism Mixed Dressage, Team;Gold
Lorenzo Carboncini;M;23;191;200,6206584;Italy;Rowing;Rowing Men's Coxless Fours;Silver
"Vincent Lamar ""Vince"" Carter";M;23;195;224,8715072;United States;Basketball;Basketball Men's Basketball;Gold
Claire Rhiannon Carver-Dias;F;23;167;119,0496215;Canada;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Chad Robb Carvin;M;26;188;185,1883001;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Naomi Sandra Castle;F;26;180;158,7328286;Australia;Water Polo;Water Polo Women's Water Polo;Gold
Danel Castro Muagorri;M;24;173;220,462262;Cuba;Baseball;Baseball Men's Baseball;Silver
Jos ngel Csar Delgado;M;22;178;165,3466965;Cuba;Athletics;Athletics Men's 4 x 100 metres Relay;Bronze
Vladimir Ch'ant'uria;M;22;186;200,6206584;Georgia;Boxing;Boxing Men's Heavyweight;Bronze
Ak'ak'i Chachua;M;30;168;132,2773572;Georgia;Wrestling;Wrestling Men's Lightweight, Greco-Roman;Bronze
Erin Chan;F;21;167;121,2542441;Canada;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Thibaud Chapelle;M;23;175;158,7328286;France;Rowing;Rowing Men's Lightweight Double Sculls;Bronze
Brandi Denise Chastain;F;32;171;127,868112;United States;Football;Football Women's Football;Silver
Andrey Ivanovich Chemerkin;M;28;183;374,7858454;Russia;Weightlifting;Weightlifting Men's Super-Heavyweight;Bronze
Chen Jing;F;31;170;132,2773572;Chinese Taipei;Table Tennis;Table Tennis Women's Singles;Bronze
Chen Xiaomin;F;23;158;138,8912251;China;Weightlifting;Weightlifting Women's Middleweight;Gold
Chen Zhong;F;17;183;160,9374513;China;Taekwondo;Taekwondo Women's Heavyweight;Gold
Joyce Chepchumba Koech;F;29;160;114,6403762;Kenya;Athletics;Athletics Women's Marathon;Bronze
Anna Sergeyevna Chepeleva;F;16;;;Russia;Gymnastics;Gymnastics Women's Team All-Around;Silver
