Names;Gender;Age;Height (cm);Weight (lbs);Team;Sport;Event;Medal
Jolanda eplak (Steblovnik-);F;27;168;119,0496215;Slovenia;Athletics;Athletics Women's 800 metres;Bronze
Simone Cercato;M;29;178;158,7328286;Italy;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
Matej Cernic;M;25;192;176,3698096;Italy;Volleyball;Volleyball Men's Volleyball;Silver
Yorelvis Charles Martnez;M;25;176;191,8021679;Cuba;Baseball;Baseball Men's Baseball;Gold
Irina Viktorovna Chashchina;F;22;165;101,4126405;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Individual;Silver
Brandi Denise Chastain;F;36;171;127,868112;United States;Football;Football Women's Football;Gold
Jury Dimitri Chechi;M;34;165;132,2773572;Italy;Gymnastics;Gymnastics Men's Rings;Bronze
Chen Jing;F;28;182;165,3466965;China;Volleyball;Volleyball Women's Volleyball;Gold
Chen Li-Ju;F;23;168;130,0727346;Chinese Taipei;Archery;Archery Women's Team;Bronze
Chen Qi;M;20;174;147,7097155;China-1;Table Tennis;Table Tennis Men's Doubles;Gold
Chen Shih-Hsien;F;25;166;101,4126405;Chinese Taipei;Taekwondo;Taekwondo Women's Flyweight;Gold
Chen Szu-Yuan;M;23;170;154,3235834;Chinese Taipei;Archery;Archery Men's Team;Silver
Chen Yanqing;F;25;158;127,868112;China;Weightlifting;Weightlifting Women's Lightweight;Gold
Chen Zhong;F;21;183;160,9374513;China;Taekwondo;Taekwondo Women's Heavyweight;Gold
Olena Arkadivna Cherevatova (-Derevenko);F;34;170;143,3004703;Ukraine;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Bronze
Chun Wei Cheung;M;32;160;121,2542441;Netherlands;Rowing;Rowing Men's Coxed Eights;Silver
Darren M. Chiacchia;M;39;177;163,1420739;United States;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Bronze
Roberto Chiacig;M;29;210;260,1454692;Italy;Basketball;Basketball Men's Basketball;Silver
Giorgio Chiellini;M;19;186;167,5513191;Italy;Football;Football Men's Football;Bronze
Mikhail Alekseyevich Chipurin;M;23;190;231,4853751;Russia;Handball;Handball Men's Handball;Bronze
Aurica Chiri-Brscu;F;29;181;165,3466965;Romania;Rowing;Rowing Women's Coxed Eights;Gold
