Names;Sex;Age;Height;Weight;Team;Sport;Event;Medal
Sarah Elaine Siegelaar;F;26;180;163,1420739;Netherlands;Rowing;Rowing Women's Coxed Eights;Silver
Gujn Valur Sigursson;M;28;187;182,9836775;Iceland;Handball;Handball Men's Handball;Silver
Sigfs Sigursson;M;33;198;251,3269787;Iceland;Handball;Handball Men's Handball;Silver
Sileshi Mekuria Sihine;M;25;168;127,868112;Ethiopia;Athletics;Athletics Men's 10,000 metres;Silver
Alette Hilde Sijbring;F;26;174;149,9143382;Netherlands;Water Polo;Water Polo Women's Water Polo;Gold
Andrey Aleksandrovich Silnov;M;23;198;182,9836775;Russia;Athletics;Athletics Men's High Jump;Gold
Alex Sandro da Silva;M;23;192;176,3698096;Brazil;Football;Football Men's Football;Bronze
Thiago Emiliano da Silva;M;23;183;158,7328286;Brazil;Football;Football Men's Football;Bronze
Emily Susan Silver;F;22;180;154,3235834;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
Simone Gomes Jatob;F;27;172;145,5050929;Brazil;Football;Football Women's Football;Silver
Andrew James Simpson;M;31;185;229,2807525;Great Britain;Sailing;Sailing Men's Two Person Keelboat;Gold
Sherone Anmarica Simpson;F;23;163;130,0727346;Jamaica;Athletics;Athletics Women's 100 metres;Silver
"William ""Will"" Simpson";M;49;173;169,7559417;United States;Equestrianism;Equestrianism Mixed Jumping, Team;Gold
Vijender Kumar Singh;M;22;182;165,3466965;India;Boxing;Boxing Men's Middleweight;Bronze
Kvin Ren Michel Sireau;M;21;188;198,4160358;France;Cycling;Cycling Men's Team Sprint;Silver
Oksana Nikolayevna Slivenko;F;21;164;152,1189608;Russia;Weightlifting;Weightlifting Women's Light-Heavyweight;Silver
Bridget Elizabeth Sloan;F;16;150;103,6172631;United States;Gymnastics;Gymnastics Women's Team All-Around;Silver
Minke Smabers (-Smeets);F;29;158;108,0265084;Netherlands;Hockey;Hockey Women's Hockey;Gold
Erinn L. Smart;F;28;170;145,5050929;United States;Fencing;Fencing Women's Foil, Team;Silver
Keeth Thomas Smart;M;30;183;165,3466965;United States;Fencing;Fencing Men's Sabre, Team;Silver
Justine Smethurst;F;21;178;169,7559417;Australia;Softball;Softball Women's Softball;Bronze
Sandra Smisek;F;31;164;123,4588667;Germany;Football;Football Women's Football;Bronze
Julia Elizabeth Smit;F;20;183;145,5050929;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
Julia Elizabeth Smit;F;20;183;145,5050929;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Miloushka Yasemin Smit;F;23;178;154,3235834;Netherlands;Water Polo;Water Polo Women's Water Polo;Gold
Andrew Smith;M;29;191;196,2114132;Australia;Hockey;Hockey Men's Hockey;Bronze
Colin Smith;M;24;185;185,1883001;Great Britain;Rowing;Rowing Men's Coxed Eights;Silver
Jesse Aaron Smith;M;25;194;231,4853751;United States;Water Polo;Water Polo Men's Water Polo;Silver
"Katherine May ""Katie"" Smith";F;34;180;174,165187;United States;Basketball;Basketball Women's Basketball;Gold
Louis Antoine Smith;M;19;184;167,5513191;Great Britain;Gymnastics;Gymnastics Men's Pommelled Horse;Bronze
"Marlies Jeannette Fransisca ""Marlies"" Smulders";F;26;184;171,9605644;Netherlands;Rowing;Rowing Women's Coxed Eights;Silver
Belinda Rose Snell;F;27;180;176,3698096;Australia;Basketball;Basketball Women's Basketball;Silver
Gril Snorroeggen;F;23;177;;Norway;Handball;Handball Women's Handball;Gold
Emma Laura Snowsill (-Frodeno);F;27;161;105,8218858;Australia;Triathlon;Triathlon Women's Olympic Distance;Gold
Rishod Rashidovich Sobirov;M;21;168;145,5050929;Uzbekistan;Judo;Judo Men's Extra-Lightweight;Bronze
Rafael Augusto Sbis do Nascimento;M;23;173;156,528206;Brazil;Football;Football Men's Football;Bronze
"Kathryn Michele ""Kate"" Sobrero-Markgraf";F;31;170;134,4819798;United States;Football;Football Women's Football;Gold
Edwin Cheruiyot Soi;M;22;168;116,8449989;Kenya;Athletics;Athletics Men's 5,000 metres;Bronze
Vctor Manuel Sojo Jimnez;M;24;170;141,0958477;Spain;Hockey;Hockey Men's Hockey;Silver
Irina Borisovna Sokolovskaya;F;25;186;158,7328286;Russia;Basketball;Basketball Women's Basketball;Bronze
Nina Solheim;F;29;170;154,3235834;Norway;Taekwondo;Taekwondo Women's Heavyweight;Silver
Hope Amelia Solo (-Stevens);F;27;175;152,1189608;United States;Football;Football Women's Football;Gold
Mika Someya;F;25;166;143,3004703;Japan;Softball;Softball Women's Softball;Gold
Son Tae-Jin;M;20;176;149,9143382;South Korea;Taekwondo;Taekwondo Men's Featherweight;Gold
Song Hai-Rim;F;23;167;147,7097155;South Korea;Handball;Handball Women's Handball;Bronze
Song Qingling;F;22;174;152,1189608;China;Hockey;Hockey Women's Hockey;Silver
Song Seung-Jun;M;28;183;231,4853751;South Korea;Baseball;Baseball Men's Baseball;Gold
Rebecca Soni;F;21;173;134,4819798;United States;Swimming;Swimming Women's 100 metres Breaststroke;Silver
Rebecca Soni;F;21;173;134,4819798;United States;Swimming;Swimming Women's 200 metres Breaststroke;Gold
Rebecca Soni;F;21;173;134,4819798;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Slobodan Soro;M;29;196;220,462262;Serbia;Water Polo;Water Polo Men's Water Polo;Bronze
Jos Ernesto Sosa;M;23;179;160,9374513;Argentina;Football;Football Men's Football;Gold
Daouda Demba Sow;M;25;175;132,2773572;France;Boxing;Boxing Men's Lightweight;Silver
Else-Marthe Srlie Lybekk;F;29;177;167,5513191;Norway;Handball;Handball Women's Handball;Gold
Sabine Spitz;F;36;167;132,2773572;Germany;Cycling;Cycling Women's Mountainbike, Cross-Country;Gold
Barbora potkov;F;27;182;176,3698096;Czech Republic;Athletics;Athletics Women's Javelin Throw;Gold
Christian David Sprenger;M;22;196;202,825281;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
Justin Edward Spring;M;24;170;141,0958477;United States;Gymnastics;Gymnastics Men's Team All-Around;Bronze
Andriy Volodymyrovych Stadnik;M;26;171;145,5050929;Ukraine;Wrestling;Wrestling Men's Welterweight, Freestyle;Silver
Mariya Stadnik;F;20;157;105,8218858;Azerbaijan;Wrestling;Wrestling Women's Flyweight, Freestyle;Bronze
Jamie Alan Staff;M;35;178;202,825281;Great Britain;Cycling;Cycling Men's Team Sprint;Gold
"Thomas Alexander ""Tom"" Stallard";M;29;193;198,4160358;Great Britain;Rowing;Rowing Men's Coxed Eights;Silver
"Clayton Iona ""Clay"" Stanley";M;30;205;231,4853751;United States;Volleyball;Volleyball Men's Volleyball;Gold
Andrew Steele;M;23;182;171,9605644;Great Britain;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
lafur Indrii Stefnsson;M;35;196;207,2345263;Iceland;Handball;Handball Men's Handball;Silver
Zuzana tefeekov;F;24;166;143,3004703;Slovakia;Shooting;Shooting Women's Trap;Silver
Britta Steffen;F;24;180;132,2773572;Germany;Swimming;Swimming Women's 50 metres Freestyle;Gold
Britta Steffen;F;24;180;132,2773572;Germany;Swimming;Swimming Women's 100 metres Freestyle;Gold
Jessica Marie Steffens;F;21;183;165,3466965;United States;Water Polo;Water Polo Women's Water Polo;Silver
Kerstin Stegemann;F;30;170;149,9143382;Germany;Football;Football Women's Football;Bronze
Boris Steimetz;M;21;187;165,3466965;France;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
Matthias Steiner;M;25;183;321,8749025;Germany;Weightlifting;Weightlifting Men's Super-Heavyweight;Gold
Sanna Tutteli Stn;F;31;171;138,8912251;Finland;Rowing;Rowing Women's Lightweight Double Sculls;Silver
Ondej tpnek;M;28;173;171,9605644;Czech Republic;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Silver
Mariya Aleksandrovna Stepanova;F;29;202;187,3929227;Russia;Basketball;Basketball Women's Basketball;Bronze
"Jeffrey Allen ""Jeff"" Stevens";M;24;188;205,0299037;United States;Baseball;Baseball Men's Baseball;Bronze
Sarah Diana Stevenson;F;25;177;153,2212721;Great Britain;Taekwondo;Taekwondo Women's Heavyweight;Bronze
Danielle Stewart;F;27;165;143,3004703;Australia;Softball;Softball Women's Softball;Bronze
Kerron Stewart;F;24;175;134,4819798;Jamaica;Athletics;Athletics Women's 100 metres;Silver
Kerron Stewart;F;24;175;134,4819798;Jamaica;Athletics;Athletics Women's 200 metres;Bronze
Hayden Ernest Stoeckel;M;23;197;209,4391489;Australia;Swimming;Swimming Men's 100 metres Backstroke;Bronze
Hayden Ernest Stoeckel;M;23;197;209,4391489;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
Stephen James Strasburg;M;20;196;216,0530168;United States;Baseball;Baseball Men's Baseball;Bronze
Simona Dumitria Strimbeschi-Muat;F;26;183;176,3698096;Romania;Rowing;Rowing Women's Coxed Eights;Bronze
Mris trombergs;M;21;186;198,4160358;Latvia;Cycling;Cycling Men's BMX;Gold
"Jennifer ""Jenn"" Stuczynski-Suhr";F;26;183;145,5050929;United States;Athletics;Athletics Women's Pole Vault;Silver
Leonel Surez Fajardo;M;20;181;149,9143382;Cuba;Athletics;Athletics Men's Decathlon;Bronze
Mara Beln Succi;F;22;177;158,7328286;Argentina;Hockey;Hockey Women's Hockey;Bronze
Shingo Suetsugu;M;28;178;149,9143382;Japan;Athletics;Athletics Men's 4 x 100 metres Relay;Silver
Sui Jianshuang;F;19;177;112,4357536;China;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Aleksandr Nikolayevich Sukhorukov;M;20;196;205,0299037;Russia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Yuriy Oleksandrovych Sukhorukov;M;40;176;143,3004703;Ukraine;Shooting;Shooting Men's Small-Bore Rifle, Three Positions, 50 metres;Silver
Eamon Wade Sullivan;M;22;189;171,9605644;Australia;Swimming;Swimming Men's 100 metres Freestyle;Silver
Eamon Wade Sullivan;M;22;189;171,9605644;Australia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
Eamon Wade Sullivan;M;22;189;171,9605644;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
Laura Ann Summerton-Hodges;F;24;190;171,9605644;Australia;Basketball;Basketball Women's Basketball;Silver
Sun Dan;F;21;177;125,6634893;China;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Sun Qiuting;F;22;171;121,2542441;China;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Sun Ye;F;19;169;134,4819798;China;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Bronze
Sung Yu-Chi;M;26;174;149,9143382;Chinese Taipei;Taekwondo;Taekwondo Men's Featherweight;Bronze
Christian S;M;23;186;169,7559417;Germany;Table Tennis;Table Tennis Men's Team;Silver
Viorica Susanu;F;32;186;169,7559417;Romania;Rowing;Rowing Women's Coxless Pairs;Gold
Viorica Susanu;F;32;186;169,7559417;Romania;Rowing;Rowing Women's Coxed Eights;Bronze
Inna Yevgenyevna Suslina;F;29;184;174,165187;Russia;Handball;Handball Women's Handball;Silver
Darren John Sutherland;M;26;182;165,3466965;Ireland;Boxing;Boxing Men's Middleweight;Bronze
Emiko Suzuki;F;26;168;125,6634893;Japan;Synchronized Swimming;Synchronized Swimming Women's Duet;Bronze
Isabel Marques Swan;F;24;181;152,1189608;Brazil;Sailing;Sailing Women's Two Person Dinghy;Bronze
Stacy Denise Sykora;F;31;176;134,4819798;United States;Volleyball;Volleyball Women's Volleyball;Silver
Ondej Synek;M;25;199;231,4853751;Czech Republic;Rowing;Rowing Men's Single Sculls;Silver
Gabriella Timea Szab;F;21;170;136,6866024;Hungary;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Silver
Zoltn Szcsi;M;30;198;211,6437715;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Matteo Tagliariol;M;25;188;171,9605644;Italy;Fencing;Fencing Men's epee, Individual;Gold
Matteo Tagliariol;M;25;188;171,9605644;Italy;Fencing;Fencing Men's epee, Team;Bronze
Shinji Takahira;M;24;180;136,6866024;Japan;Athletics;Athletics Men's 4 x 100 metres Relay;Silver
Jared Tallent;M;23;178;127,868112;Australia;Athletics;Athletics Men's 20 kilometres Walk;Bronze
Jared Tallent;M;23;178;127,868112;Australia;Athletics;Athletics Men's 50 kilometres Walk;Silver
"Anamaria ""Ana"" Tmrjan";F;17;145;81,57103694;Romania;Gymnastics;Gymnastics Women's Team All-Around;Bronze
Ryoko Tamura-Tani;F;32;146;105,8218858;Japan;Judo;Judo Women's Extra-Lightweight;Bronze
"Kai-Wen ""Kevin"" Tan";M;26;163;141,0958477;United States;Gymnastics;Gymnastics Men's Team All-Around;Bronze
Tan Miao;F;21;170;132,2773572;China;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Silver
Tan Xue;F;24;176;169,7559417;China;Fencing;Fencing Women's Sabre, Team;Silver
Tan Zongliang;M;36;179;189,5975453;China;Shooting;Shooting Men's Free Pistol, 50 metres;Silver
Tang Bin;F;22;182;158,7328286;China;Rowing;Rowing Women's Quadruple Sculls;Gold
Tang Chunling;F;32;166;127,868112;China;Hockey;Hockey Women's Hockey;Silver
Tang Jingzhi;F;21;176;149,9143382;China;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Silver
Helen Lesley Tanger;F;29;186;154,3235834;Netherlands;Rowing;Rowing Women's Coxed Eights;Silver
Abdullo Tovashevich Tangriyev;M;27;190;291,0101858;Uzbekistan;Judo;Judo Men's Heavyweight;Silver
"Tnia Maria ""Tnia Maranho"" Pereira Ribeiro";F;33;166;121,2542441;Brazil;Football;Football Women's Football;Silver
Ayumi Tanimoto;F;27;158;138,8912251;Japan;Judo;Judo Women's Half-Middleweight;Gold
Azize Tanrkulu;F;22;172;125,6634893;Turkey;Taekwondo;Taekwondo Women's Featherweight;Silver
Luigi Tarantino;M;35;188;209,4391489;Italy;Fencing;Fencing Men's Sabre, Team;Bronze
"Matthew Stephen C. ""Matt"" Targett";M;22;198;198,4160358;Australia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
"Matthew Stephen C. ""Matt"" Targett";M;22;198;198,4160358;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
Lindsay Ann Tarpley (-Snow);F;24;165;127,868112;United States;Football;Football Women's Football;Gold
Juraj Tarr;M;29;190;194,0067906;Slovakia;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Silver
"Antonio ""Toni"" Tauler Lluls";M;34;185;171,9605644;Spain;Cycling;Cycling Men's Madison;Silver
Diana Lurena Taurasi;F;26;183;154,3235834;United States;Basketball;Basketball Women's Basketball;Gold
Angelo F. Taylor, Jr.;M;29;188;185,1883001;United States;Athletics;Athletics Men's 400 metres Hurdles;Gold
Angelo F. Taylor, Jr.;M;29;188;185,1883001;United States;Athletics;Athletics Men's 4 x 400 metres Relay;Gold
"Penelope Jane ""Penny"" Taylor (-Gil-)";F;27;185;158,7328286;Australia;Basketball;Basketball Women's Basketball;Silver
Artur Borisovich Taymazov;M;29;190;264,5547144;Uzbekistan;Wrestling;Wrestling Men's Super-Heavyweight, Freestyle;Gold
Servet Tazegl;M;19;180;149,9143382;Turkey;Taekwondo;Taekwondo Men's Featherweight;Bronze
Taylor Hill Teagarden;M;24;187;198,4160358;United States;Baseball;Baseball Men's Baseball;Bronze
Nurbakyt Moldakhmetuly Tengizbayev;M;25;168;132,2773572;Kazakhstan;Wrestling;Wrestling Men's Lightweight, Greco-Roman;Bronze
Viktoriya Anatolivna Tereshchuk;F;26;175;132,2773572;Ukraine;Modern Pentathlon;Modern Pentathlon Women's Individual;Bronze
Anthony Joseph Terras;M;23;170;152,1189608;France;Shooting;Shooting Men's Skeet;Bronze
Kiril Stoychev Terziev;M;24;177;163,1420739;Bulgaria;Wrestling;Wrestling Men's Middleweight, Freestyle;Bronze
Sergey Yuryevich Tetyukhin;M;32;197;196,2114132;Russia;Volleyball;Volleyball Men's Volleyball;Bronze
Thasa Daher de Menezes;F;21;196;165,3466965;Brazil;Volleyball;Volleyball Women's Volleyball;Gold
Annekatrin Thiele;F;23;173;149,9143382;Germany;Rowing;Rowing Women's Double Sculls;Silver
Geraint Howell Thomas;M;22;183;154,3235834;Great Britain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Gold
Hanna M. Thompson;F;24;175;145,5050929;United States;Fencing;Fencing Women's Foil, Team;Silver
Richard Thompson;M;23;188;176,3698096;Trinidad and Tobago;Athletics;Athletics Men's 100 metres;Silver
Richard Thompson;M;23;188;176,3698096;Trinidad and Tobago;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Tina Marie Thompson;F;33;188;178,5744322;United States;Basketball;Basketball Women's Basketball;Gold
Peter Thomsen;M;47;183;158,7328286;Germany;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Gold
Mary Elizabeth Thomson-King;F;47;178;138,8912251;Great Britain;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Bronze
Andreas Thorkildsen;M;26;188;198,4160358;Norway;Athletics;Athletics Men's Javelin Throw;Gold
Karin Thrig (-Bucher);F;36;182;147,7097155;Switzerland;Cycling;Cycling Women's Individual Time Trial;Bronze
Tian Jia;F;27;177;149,9143382;China-1;Beach Volleyball;Beach Volleyball Women's Beach Volleyball;Silver
Terry Ronald Tiffee;M;29;190;224,8715072;United States;Baseball;Baseball Men's Baseball;Bronze
Soslan Vaznoyevich Tigiyev;M;24;172;163,1420739;Uzbekistan;Wrestling;Wrestling Men's Middleweight, Freestyle;Silver
Taymuraz Vaznoyevich Tigiyev;M;26;185;211,6437715;Kazakhstan;Wrestling;Wrestling Men's Heavyweight, Freestyle;Silver
Ivan Grigoryevich Tikhon;M;32;186;242,5084882;Belarus;Athletics;Athletics Men's Hammer Throw;Bronze
Paola Tirados Snchez;F;28;164;114,6403762;Spain;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Aleksey Viktorovich Tishchenko;M;24;167;132,2773572;Russia;Boxing;Boxing Men's Lightweight;Gold
Natalie Lorraine Titcume;F;32;184;187,3929227;Australia;Softball;Softball Women's Softball;Bronze
Nataliya Viktorivna Tobias (Sydorenko-);F;27;160;105,8218858;Ukraine;Athletics;Athletics Women's 1,500 metres;Bronze
"Robert John ""Rob"" Tobin";M;24;190;171,9605644;Great Britain;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
Logan Maile Lei Tom;F;27;186;169,7559417;United States;Volleyball;Volleyball Women's Volleyball;Silver
Vctor Toms Gonzlez;M;23;176;182,9836775;Spain;Handball;Handball Men's Handball;Bronze
Hiroyuki Tomita;M;27;166;127,868112;Japan;Gymnastics;Gymnastics Men's Team All-Around;Silver
Tong Wen;F;25;180;286,6009406;China;Judo;Judo Women's Heavyweight;Gold
Dara Grace Torres (-Hoffman, -Minas);F;41;183;149,9143382;United States;Swimming;Swimming Women's 50 metres Freestyle;Silver
Dara Grace Torres (-Hoffman, -Minas);F;41;183;149,9143382;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
Dara Grace Torres (-Hoffman, -Minas);F;41;183;149,9143382;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Arnaud Pierre Armand Tournant;M;30;180;176,3698096;France;Cycling;Cycling Men's Team Sprint;Silver
Scott Joseph Touzinsky;M;26;198;189,5975453;United States;Volleyball;Volleyball Men's Volleyball;Gold
"Andrew ""Andy"" Triggs Hodge";M;29;192;213,8483941;Great Britain;Rowing;Rowing Men's Coxless Fours;Gold
Giovanna Trillini;F;38;164;130,0727346;Italy;Fencing;Fencing Women's Foil, Team;Bronze
Triyatno;M;20;161;169,7559417;Indonesia;Weightlifting;Weightlifting Men's Featherweight;Bronze
Irakli Tsirekidze;M;26;184;198,4160358;Georgia;Judo;Judo Men's Middleweight;Gold
Maki Tsukada;F;26;170;277,7824501;Japan;Judo;Judo Women's Heavyweight;Silver
Naoki Tsukahara;M;23;180;165,3466965;Japan;Athletics;Athletics Men's 4 x 100 metres Relay;Silver
"Eduard ""Eddie"" Tubau Cutal";M;27;180;169,7559417;Spain;Hockey;Hockey Men's Hockey;Silver
Olaf Karl Tufte;M;32;193;207,2345263;Norway;Rowing;Rowing Men's Single Sculls;Gold
Alina Arturovna Tumilovich;F;18;178;123,4588667;Belarus;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Anna Tunnicliffe (-Funk);F;25;168;145,5050929;United States;Sailing;Sailing Women's One Person Dinghy;Gold
Emiliya Khalsberiyevna Turey;F;23;175;134,4819798;Russia;Handball;Handball Women's Handball;Silver
Jason Turner;M;33;183;216,0530168;United States;Shooting;Shooting Men's Air Pistol, 10 metres;Bronze
Otar Tushishvili;M;30;177;145,5050929;Georgia;Wrestling;Wrestling Men's Welterweight, Freestyle;Bronze
Robert Nathan Twaddle;M;31;186;198,4160358;New Zealand;Rowing;Rowing Men's Coxless Pairs;Bronze
Kjersti Tysse-Pltzer;F;36;173;121,2542441;Norway;Athletics;Athletics Women's 20 kilometres Walk;Silver
Ruslan Samaganovich Tyumenbayev;M;22;169;132,2773572;Kyrgyzstan;Wrestling;Wrestling Men's Lightweight, Greco-Roman;Bronze
Kohei Uchimura;M;19;160;119,0496215;Japan;Gymnastics;Gymnastics Men's Individual All-Around;Silver
Kohei Uchimura;M;19;160;119,0496215;Japan;Gymnastics;Gymnastics Men's Team All-Around;Silver
Masato Uchishiba;M;30;160;145,5050929;Japan;Judo;Judo Men's Half-Lightweight;Gold
Filip Ude;M;22;170;149,9143382;Croatia;Gymnastics;Gymnastics Men's Pommelled Horse;Silver
Vanja (Franjo-) Udovii;M;25;193;207,2345263;Serbia;Water Polo;Water Polo Men's Water Polo;Bronze
Masae Ueno;F;29;160;154,3235834;Japan;Judo;Judo Women's Middleweight;Gold
Yukiko Ueno;F;26;174;158,7328286;Japan;Softball;Softball Women's Softball;Gold
Yordenis Ugs Hernndez;M;22;176;132,2773572;Cuba;Boxing;Boxing Men's Lightweight;Bronze
Sergey Valeryevich Ulegin;M;30;181;169,7559417;Russia;Canoeing;Canoeing Men's Canadian Doubles, 500 metres;Silver
Yoandri Urgells Cobas;M;27;178;189,5975453;Cuba;Baseball;Baseball Men's Baseball;Silver
Yana Viktorovna Uskova;F;22;167;125,6634893;Russia;Handball;Handball Women's Handball;Silver
scar Alfredo Ustari;M;22;183;185,1883001;Argentina;Football;Football Men's Football;Gold
Attila Sandr Vajda;M;25;177;189,5975453;Hungary;Canoeing;Canoeing Men's Canadian Singles, 1,000 metres;Gold
"Valeska ""Valeskinha"" dos Santos Menezes";F;32;180;136,6866024;Brazil;Volleyball;Volleyball Women's Volleyball;Gold
Naomi Frances van As;F;25;179;138,8912251;Netherlands;Hockey;Hockey Women's Hockey;Gold
Iefke van Belkum;F;22;185;165,3466965;Netherlands;Water Polo;Water Polo Women's Water Polo;Gold
Gillian Maria Elisabeth van den Berg;F;36;173;145,5050929;Netherlands;Water Polo;Water Polo Women's Water Polo;Gold
Marieke van den Ham;F;25;169;176,3698096;Netherlands;Water Polo;Water Polo Women's Water Polo;Gold
Kirsten Irene Merian van der Kolk (-Aardewijn);F;32;172;121,2542441;Netherlands;Rowing;Rowing Women's Lightweight Double Sculls;Gold
Ilse Suzanne van der Meijden;F;19;185;156,528206;Netherlands;Water Polo;Water Polo Women's Water Polo;Gold
Maarten van der Weijden;M;27;205;202,825281;Netherlands;Swimming;Swimming Men's 10 kilometres Open Water;Gold
Marit van Eupen;F;38;176;130,0727346;Netherlands;Rowing;Rowing Women's Lightweight Double Sculls;Gold
"Marianne Antoinette ""Miek"" van Geenhuizen";F;26;166;138,8912251;Netherlands;Hockey;Hockey Women's Hockey;Gold
"Theodora Elisabeth Gerarda ""Anky"" van Grunsven";F;40;172;123,4588667;Netherlands;Equestrianism;Equestrianism Mixed Dressage, Individual;Gold
"Theodora Elisabeth Gerarda ""Anky"" van Grunsven";F;40;172;123,4588667;Salinero;Equestrianism;Equestrianism Mixed Dressage, Team;Silver
Adam Joseph Van Koeverden;M;26;182;187,3929227;Canada;Canoeing;Canoeing Men's Kayak Singles, 500 metres;Silver
Moriah Van Norman;F;24;178;209,4391489;United States;Water Polo;Water Polo Women's Water Polo;Silver
Manon van Rooijen;F;26;178;147,7097155;Netherlands;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
Annemarieke van Rumpt;F;28;186;160,9374513;Netherlands;Rowing;Rowing Women's Coxed Eights;Silver
"Kimberly ""Kim"" Vandenberg";F;24;173;130,0727346;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Peter William Vanderkaay;M;24;193;209,4391489;United States;Swimming;Swimming Men's 200 metres Freestyle;Bronze
Peter William Vanderkaay;M;24;193;209,4391489;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Ambruse Vanzekin;M;22;176;171,9605644;Nigeria;Football;Football Men's Football;Silver
Armen Frunzekovych Vardanian;M;25;172;145,5050929;Ukraine;Wrestling;Wrestling Men's Welterweight, Greco-Roman;Bronze
Peter Dale Varellas;M;23;191;196,2114132;United States;Water Polo;Water Polo Men's Water Polo;Silver
Dniel Rudolf Varga;M;24;201;211,6437715;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Dnes Andor Varga;M;21;193;211,6437715;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Tams Varga;M;33;201;231,4853751;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Alexis Alain Vastine;M;21;184;152,1189608;France;Boxing;Boxing Men's Light-Welterweight;Bronze
Alla Ivanovna Vazhenina;F;25;175;165,3466965;Kazakhstan;Weightlifting;Weightlifting Women's Heavyweight;Silver
"Magdalena Johanna Maria ""Marleen"" Veldhuis";F;29;182;147,7097155;Netherlands;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
Radoslav Marinov Velikov;M;24;160;121,2542441;Bulgaria;Wrestling;Wrestling Men's Featherweight, Freestyle;Bronze
Erik K. Vendt;M;27;180;165,3466965;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Simone Venier;M;23;196;207,2345263;Italy;Rowing;Rowing Men's Quadruple Sculls;Silver
Norge Luis Vera Peralta;M;37;191;198,4160358;Cuba;Baseball;Baseball Men's Baseball;Silver
Tonya Lynn Verbeek;F;30;165;121,2542441;Canada;Wrestling;Wrestling Women's Lightweight, Freestyle;Bronze
Aleksey Igoryevich Verbov;M;26;183;174,165187;Russia;Volleyball;Volleyball Men's Volleyball;Bronze
"Annabel Morwenna ""Annie"" Vernon";F;25;178;165,3466965;Great Britain;Rowing;Rowing Women's Quadruple Sculls;Silver
Tatyana Leonidovna Veshkurova;F;26;175;141,0958477;Russia;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Maria Valentina Vezzali;F;34;164;119,0496215;Italy;Fencing;Fencing Women's Foil, Individual;Gold
Maria Valentina Vezzali;F;34;164;119,0496215;Italy;Fencing;Fencing Women's Foil, Team;Bronze
Sandro Ricardo Rodrigues Viana;M;31;188;169,7559417;Brazil;Athletics;Athletics Men's 4 x 100 metres Relay;Bronze
Anne-Laure Viard;F;27;174;149,9143382;France;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Bronze
Brenda Villa;F;28;163;174,165187;United States;Water Polo;Water Polo Women's Water Polo;Silver
Blanka Vlai;F;24;193;156,528206;Croatia;Athletics;Athletics Women's High Jump;Silver
Erik Vlek;M;26;189;196,2114132;Slovakia;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Silver
Nataliya Aleksandrovna Vodopyanova;F;27;188;171,9605644;Russia;Basketball;Basketball Women's Basketball;Bronze
